Study,PLOT_ID,year,site,lat,long,appositus,auricomis,balteatus,bifarius,californicus,centralis,fernaldae,fervidus,flavifrons,fraternus,frigidus,griseocollis,huntii,insularis,melanopygus,mixtus,morrisoni,nevadensis,occidentalis,pensylvanicus,rufocinctus,sylvicola,SUM
Gelles et al. 2023-AFE,BSR-1C2-02,2020,BSR,40.73882122,-105.4924272,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Gelles et al. 2023-AFE,BSR-1C2-06,2020,BSR,40.73594302,-105.4934718,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Gelles et al. 2023-AFE,BSR-1T2-02,2020,BSR,40.73883346,-105.5041999,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,9
Gelles et al. 2023-AFE,BSR-1T2-10,2020,BSR,40.73742028,-105.5059894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gelles et al. 2023-AFE,BSR-2T4-07,2020,BSR,40.74203426,-105.4931378,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,9
Gelles et al. 2023-AFE,BSR-2T4-12,2020,BSR,40.74687957,-105.4849412,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,6
Gelles et al. 2023-AFE,BSR-2T4-15,2020,BSR,40.74951654,-105.4876849,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
Gelles et al. 2023-AFE,BSR-2T4-24,2020,BSR,40.75027658,-105.4953665,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5
Gelles et al. 2023-AFE,BSR-2T4-27,2020,BSR,40.74334595,-105.4876161,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gelles et al. 2023-AFE,BSR-2T4-28,2020,BSR,40.74025316,-105.4904124,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
Gelles et al. 2023-AFE,BSR-DT2-01,2020,BSR,40.7370502,-105.4957776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Gelles et al. 2023-AFE,BSR-DT2-02,2020,BSR,40.7371976,-105.4992015,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5
Gelles et al. 2023-AFE,RFX-B28-03,2018,RFX,40.8524797,-105.5800403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4
Gelles et al. 2023-AFE,RFX-B28-03,2020,RFX,40.8524797,-105.5800403,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Gelles et al. 2023-AFE,RFX-B28-08,2018,RFX,40.85585018,-105.5725595,3,0,0,1,0,17,0,0,14,0,0,0,0,1,9,0,0,0,0,0,4,1,50
Gelles et al. 2023-AFE,RFX-B28-08,2020,RFX,40.85585018,-105.5725595,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Gelles et al. 2023-AFE,RFX-B28-09,2018,RFX,40.86353784,-105.5718544,1,0,0,2,0,12,0,0,4,0,0,0,3,0,10,0,0,1,0,0,1,2,36
Gelles et al. 2023-AFE,RFX-B28-09,2020,RFX,40.86353784,-105.5718544,0,0,0,4,3,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,17
Gelles et al. 2023-AFE,RFX-B28-17,2018,RFX,40.85398138,-105.5894616,7,0,0,0,1,8,0,0,6,0,0,0,0,5,5,0,0,0,0,0,1,5,38
Gelles et al. 2023-AFE,RFX-B28-17,2020,RFX,40.85398138,-105.5894616,0,0,0,10,0,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26
Gelles et al. 2023-AFE,RFX-B28-N-03,2018,RFX,40.8678516,-105.5611047,8,0,0,0,0,5,0,0,8,0,0,0,1,2,5,0,0,0,0,0,5,4,38
Gelles et al. 2023-AFE,RFX-B28-N-03,2020,RFX,40.8678516,-105.5611047,1,0,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,16
